date,kind,content,solution
연료장치 기타,2024-12-20 ~ ,온도 감응식 압력해제 밸브 제조 불량으로 인해 오작동할 경우 외부로 수소가 배출되어 화재가 발생할 수 있는 가능성에 따른 리콜 <대상차량별 생산일자>일렉시티(CY) 수소전기버스: 2019.05.15~2022.10.12유니버스(PY) 수소전기버스: 2022.01.24~2022.10.15엑시언트(QZ) 수소전기트럭: 2021.12.06~2021.12.08,온도 감응식 압력해제 밸브 개선품으로 교체 (유리 구형 -> 금속 융융형)
연료장치 기타,2024-12-20 ~ ,온도 감응식 압력해제 밸브 제조 불량으로 인해 오작동할 경우 외부로 수소가 배출되어 화재가 발생할 수 있는 가능성에 따른 리콜 ,온도 감응식 압력해제 밸브 개선품으로 교체 (유리구형 -> 금속 융융형)<원활한 조치를 위하여 수소 충전량 40% 정도로 입고를 권장드립니다.>
완충장치 기타,2024-12-20 ~ ,"생산 과정의 장비 문제로 너트가 기준 토크로 조립되지 않았을 수 있으며, 이로 인해 주행 중 소음이 발생될 수 있고, 너트가 이탈되는 경우에는 어퍼-암이 분리되어 차량 조향에 영항을 미쳐 사고가 발생할 수 있는 가능성에 따른 리콜 ",너트의 장착 및 조임 상태를 확인 후 경우에 따라 재조임 또는 관련 부품 교환 
주행장치 기타,2024-12-20 ~ ,"생산 공정 오류로 인하여 후륜 차동기어 고정 볼트가 제대로 조임되지 않았을 수 있으며, 이로 인해 시간이 지남에 따라 볼트 조임이 느슨해지면서 최종적으로 후륜 차동기어에서 구동축이 분리될 수 있고 이런 경우 주행 주 추진력이 상실될 수 있으며, 충돌 위험 가능성을 배제할 수 없음에 따른 리콜 ",후륜 차동기어 고정 볼트 및 커버 교체 
전기장치 기타,2024-12-20 ~ ,"공급업체의 생산 공정 오류로 인하여 파이로 퓨즈(Pyro-Fuse)의 하우징이 제대로 고정되지 않을 수 있어, 주행 중 파이로 퓨즈 하우징이 이탈하여 다른 전기 배선이 손상될 수 있으며, 이런 경우 파이로 퓨즈는 의도한대로 작동하더라도 플러그인 하이브리드 차량(PHEV) 및 전기차량(BEV)에서는 주변 배선을 손상시킬 수 있음. 이로 인해 고전압 시스템이 정상작동 되지 않을 수 있으며, 사전 경고 없이 추진력이 상실될 수 있어 사고나 부상의 위험이 증가할 수 있음이 확인됨에 따른 리콜
","파이로 퓨즈 하우징 점검, 필요 시 교체 예정 "
등화장치 기타,2024-12-18 ~ ,"전조등 소프트웨어 설계 오류로 인해 방향지시등 일정 시간 작동 시 주간주행등 일부가 점등되지 않을 수 있으며, 이로 인해 안전 기준을 만족하지 못할 수 있음이 확인됨에 따른 리콜 (광도기준 부적합 가능성)<대상차량별 생산일자>쏘렌토 (MQ4): 2023.07.19~2024.11.11쏘렌토 하이브리드 (MQ4 HEV): 2023.07.19~2024.11.12",1) 서비스센터 및 서비스센터협력사에서 전조등 소프트웨어 업데이트 2) 무선 OTA를 통한 전조등 소프트웨어 업데이트 ('25.1월 중)
차체/차대 기타,2024-12-17 ~ ,"차문걸쇠장치내의 PCB기판으로 수분이 유입될 가능성으로 인하여. 2024년 10월 30일부터 시정조치(리콜)을 실시하고 있음. 하지만 배선 피복이 벗겨진 부품 등 일부 결함이 있는 부품이 시정조치 과정에서 차량에 장착되었을 가능성이 있으며, 차문 걸쇠 장치의 배선 피복이 벗겨지는 경우 단락으로 인하여 화재가 발생할 수 있고, 이로 인하여 탑승자 혹은 보행자의 안전에 영향을 줄 수 있는 가능성이 확인됨에 따른 리콜  
",도어 핸들 점검 및 필요 시 교체 
원동기(동력발생장치) 기타,2024-12-16 ~ ,엔진 컨트롤 유닛 소프트웨어 오류로 인해 배기가스 후처리장치 재생 연소시 연료 분사량 과다로 인하여 과열 및 화재 발생 가능성이 확인됨에 따른 리콜 ,엔진 컨트롤 유닛 소프트웨어 업데이트 
제동장치 기타,2024-12-16 ~ ,전자제어유압장치(HECU) 내부 회로 기판의 전기적 합선에 의한 엔진룸 소손 발생 가능성에 따른 리콜 ,엔진룸 정션박스 내 HECU 관련 퓨즈를 개선품으로 교환 (합선 발생 시 전원 차단하여 소손 예방)
원동기(동력발생장치) 기타,2024-12-16 ~ ,"엔진제어장치의 데이터 설정이 부적절하여 토크가 올바르게 계산되지 않을 수 있고, 이로 인해 감속 후 재가속 시 윌리(앞바퀴를 들고 주행)를 제어하는 기능이 의도치 않게 활성회되어 가속 불량을 일으킬 수 있으며, 가속 불량인 채로 선회하는 경우에 모터사이클이 균형을 잃고 넘어질 수 있는 가능성이 따른 리콜 <대상차량별 생산일자>CRF1100D(SD10): 2021.09.29~2023.07.10CRF1100D(SD15): 2024.02.06~2024.04.22",대상 차량에 대해 엔진제어장치 프로그램을 업데이트 
등화장치 기타,2024-12-13 ~ ,"국내로 수입, 판매된 반사기의 한정된 부품 품질 편차가 반사 성능 저하에 영향을 주었을 수 있으며, 이로 인해 반사기의 성능이 기준 이하로 저하된 경우 야간이나 흐린 날씨 상황에서 다른 운전자들이 해당 차량의 위치를 인식하기 어려워 안전 운행에 지장을 줄 수 있는 가능성에 따른 리콜 


",후부반사기 및 옆면반사기(장착 차량에 한함) 교환 
제동장치 기타,2024-12-10 ~ ,"프론트 브레이크 호스가 조립 중 의도치 않게 구부러져 연료 탱크에 간섭될 수 있으며, 이로 인해 마모가 지속될 경우 브레이크 액이 누출될 수 있고 브레이크액 누출이 감지되지 않은 상태로 운행 시, 제동이 불가형 충돌 위험이 높아질 수 있는 가능성이 확인됨에 따른 리콜 (프론트 브레이크만 해당, 리어 브레이크는 해당없음)","연료탱크를 제거하여 아래쪽 브레이크 호스의 구부러짐 및 간섭 여부를 확인하고, 경우에 따라 아래의 세 가지 조치 방법을 수행함 1. 브레이크 호스의 구부러짐 및 탱크 손상이 없는 경우 재조립함 2. 브레이크 호스가 구부러지거나 손상된 경우 브레이크 호스를 교체함 3. 연료탱크를 도색부분만 손상된 경우 부분 보수하고, 금속 표면이 드러난 경우 연료탱크클 교체함 "
전기장치 기타,2024-12-09 ~ ,통합충전제어장치(ICCU) 소프트웨어 로직 미흡으로 저전압 배터리가 충전 불가한 상황이 발생하여 주행 중 단계적 차량속도 제한 및 지속 주행 시 차량이 멈출 수 있는 가능성에 따른 리콜 ,통합충전제어장치 소프트웨어 업데이트 (점검 후 특정 고장코드 진단 시 해당부품 교환)
전기장치 기타,2024-12-09 ~ ,"통합충전제어장치(ICCU) 리콜 소프트웨어 로직 미흡으로 저전압 배터리가 충전 불가한 상황이 발생하여 주행 중 단계적 차량속도 제한 및 지속 주행 시 차량이 멈출 수 있는 가능성에 따른 리콜 <이번 리콜은 '24.3월 실시한 통합충전제어장치(ICCU) 리콜 소프트웨어의 추가 강건화 사양으로, 이미 통합충전 제어장치를 교환했거나 업데이트 조치를 받으셨더라도 추가 업데이트 조치를 받으시기 바랍니다.>",통합충전제어장치 소프트웨어 업데이트(점검 후 특정 고장코드 진단 시 해당부품 교환)
조향장치 기타,2024-12-09 ~ ,타이로드 너트 조임 토크 부족에 따른 리콜,대상 자동차에 대하여 타이로드 너트 규정 토크 125 N·m로 조임 작업 및 점검 필요 시 부품(타이로드 너트) 교체
연료장치 기타,2024-12-09 ~ ,"BMS 유니트의 에어포트 설계 오류로 수분 유입 및 커넥터 실링 정위치 이탈로 이물질이 유입될 수 있는 가능성 및 생산공장 조립과정에서 고전압 배터리 BIC 커넥터 실링이 누락될 가능성 있으며, 더미 커넥터 실링 제조 불량에 따른 리콜","대상 자동차에 대하여 ① BMS 유니트의 에어포트 부위 실리콘 도포 및 커넥터 실링 점검 후 필요시 실링 교체 ② 고전압 배터리 BIC 커넥터 실링 점검 진행, 누락 발견 시 실링 장착 및 더미 커넥터 실링 탄성 및 복원력 개선된 실링으로 교체 후 커넥터 내부 실링 패드 추가 삽입"
제동장치 기타,2024-12-06 ~ ,"통합제동장치에 장착된 서보모터 위치센서의 품질 결함으로 인해 신호 장애가 발생할 수 있으며, 신호 장애가 발생하면 안전모드로 전환되어 제동 경고등 점등 및 중앙모니터에 체크 컨트롤 메시지가 표시되고, 상황에 따라 제동에 필요한 조작력을 더 높여야 할 수 있으며 제동거리가 길어질 수 있음. 이와 동시에 ABS 및 차체 자세 제어(DSC) 기능이 작동하지 않을 수 있는 가능성이 확인됨에 따른 리콜 <대상차량별 생산일자>BMW 218d Active Tourer: 2022.11.17~2024.08.21BMW 220i Active Tourer: 2022.10.10~2024.08.22BMW 520d xDrive Sedan: 2023.09.08~2024.02.05BMW 520i: 2023.06.20~2024.10.16BMW 523d: 2023.07.12~2024.08.02BMW 523d xDrive: 2023.06.20~2024.07.16BMW 525Li Sedan CHN: 2024.01.24~BMW 530e: 2022.12.12~2024.10.16BMW 530e xDrive Sedan: 2024.06.14~2024.10.16BMW 530i: 2023.11.10~BMW 530i xDrive: 2022.07.19~2024.10.16BMW 530i xDrive: 2023.08.24~BMW 550e xDrive Sedan: 2024.06.27~2024.07.31BMW 740d xDrive: 2022.10.13~2024.08.02BMW 740i: 2021.08.25~2023.09.29BMW 740i xDrive: 2023.06.19~2024.08.02BMW 750e xDrive: 2023.02.09~2024.08.02BMW 760i xDrive: 2023.02.07~BMW i5 eDrive40: 2024.07.29~2024.08.02BMW i5 eDrive40: 2024.02.27~BMW i5 M60 xDrive: 2022.12.14~2024.08.01BMW i5 M60 xDrive: 2023.09.13~BMW i5 xDrive40: 2024.02.14~2024.07.25BMW i7 eDrive50: 2023.06.30~2024.08.02BMW i7 M70 xDrive: 2023.07.28~2024.07.22BMW i7 xDrive60: 2022.02.15~2024.08.01BMW iX1 eDrive20: 2023.11.17~BMW iX1 xDrive30: 2022.11.08~2024.08.23BMW iX2 eDrive20: 2024.03.01~2024.07.30BMW M5 Sedan: 2024.07.04~2024.07.15BMW X1 M35i xDrive: 2023.07.19~2024.08.09BMW X1 sDrive18d: 2022.11.29~2024.08.09BMW X1 sDrive20i: 2022.11.02~2024.02.21BMW X1 xDrive20i: 2023.07.01~2024.08.12BMW X1 xDrive28i: 2022.12.07~2024.05.24BMW X2 M35i xDrive: 2024.02.20~2024.08.05BMW X2 xDrive20i: 2024.01.11~2024.08.12BMW X5 M Competition: 2023.05.06~2024.08.29BMW X5 M Competition: 2024.07.30~BMW X5 M60i xDrive: 2023.03.29~2024.08.24BMW X5 sDrive40i: 2024.08.07~2024.08.07BMW X5 xDrive30d: 2023.02.28~2024.08.31BMW X5 xDrive40d: 2023.08.08~2024.09.04BMW X5 xDrive40i: 2023.02.23~2024.09.03BMW X5 xDrive40i: 2023.06.09~2024.08.11BMW X5 xDrive50e: 2023.03.29~2024.09.04BMW X5 xDrive50e: 2023.06.12~2023.11.11BMW X5 xDrive50e RHD: 2023.08.09~2023.08.09BMW X6 M Competition: 2023.03.22~2024.08.28BMW X6 M60i xDrive: 2022.04.27~2024.08.27BMW X6 xDrive30d M Sport: 2023.03.07~2024.08.27BMW X6 xDrive40d : 2023.08.15~2024.08.30BMW X6 xDrive40i M Sport: 2023.03.09~2024.08.29BMW X6 xDrive40i M Sport: 2024.02.23~2024.02.23BMW X7 M60i xDrive: 2021.08.22~2024.08.24BMW X7 M60i xDrive: 2022.08.22~2023.04.28BMW X7 xDrive40d: 2022.07.20~2024.09.04BMW X7 xDrive40i: 2022.07.15~2024.09.04BMW X7 xDrive40i: 2022.10.04~2024.06.14BMW XM: 2022.02.24~2024.07.24BMW XM Label: 2023.07.17~2024.06.20MINI Aceman SE CHN2023.11.13~2024.01.11MINI Cooper C: 2024.06.13~2024.08.09MINI Cooper S: 2024.03.11~2024.08.06MINI Cooper S 5-doors: 2024.06.13~2024.08.09MINI Cooper SE: 2023.05.16~2027.07.25MINI Countryman E: 2024.02.23~2024.08.02MINI Countryman S ALL4: 2024.01.15~2024.08.09MINI Countryman SE ALL4: 2024.02.27~2024.08.01MINI John Cooper Works Countryman ALL4: 2024.03.08~2024.08.10Rolls Royce Spectre2023.06.05~2024.05.10","품질이 개선된 통합제동장치로 교체<단, 일부 차량의 경우 개선된 통합제동장치가 이미 장착되어 추가 조치가 필요하지 않을 수 있으므로, 자세한 사항은 제작사 고객센터(080-269-5181)로 문의하여 주시기 바랍니다.>"
원동기(동력발생장치) 기타,2024-12-06 ~ ,"소프트웨어 개발 공정 오류로 인하여 엔진 컨트롤 유닛 소프트웨어의 람다 컨트롤이 정상적으로 작동되지 않을 수 있으며, 이런 경우 람다 컨트롤 시스템에 의해 분사되는 연료의 양이 증가할 수 있어 배기 온도가 상승될 수 있고, 주변 부품(예: 엔진 배선, 촉매 컨버터)이 손상될 수 있음. 이로 인해 사전 경고 없이 추진력이 상실될 수 있으며, 화재 위험 가능성을 배제할 수 없음이 확인됨에 따른 리콜 <대상차량별 생산일자>S 580 4MATIC: 2021.09.21~2023.05.15Maybach S 580 4MATIC: 2022.04.11~2023.07.03",개선된 엔진 컨트롤 유닛 소프트웨어 업데이트 및 필요 시 손상된 배선 또는 촉매 컨버터 교체 
전기장치 기타,2024-12-06 ~ ,"변속기 배선 커넥터 체결 불량에 대하여 서비스센터 리콜 작업 중 변속기 배선 커넥터 점검 및 재작업 절차가 올바르게 이루어지지 않았을 수 있으며, 이로 인해 도로나 주변 환경의 물이 변속기 배선 커넥터에 유입될 수 있고 이런 경우 전기 단락에 의한 화재의 위험을 배제할 수 없음이 확인됨에 따른 리콜 <대상차량별 생산일자>Mercedes AMG E 53 4MATIC+: 2022.04.08~2023.05.30Mercedes AMG E 53 4MATIC+ Coupe: 2022.04.10~2023.03.09Mercedes AMG CLS 53 4MATIC+ Coupe: 2022.04.04~2023.06.20Mercedes AMG GT 43 4MATIC+: 2022.04.04~2024.10.03",엘체형 변속기 배선으로 교체 
동력전달장치 기타,2024-12-06 ~ ,"클러치 디스크 사용에 적합하지 않은 방청유가 사용되어 운행 중 클러치 마찰 플레이트 마모로 발생한 금속 가루와 혼합되고 엔진 고온에 점성이 높은 상태로 변할 수 있으며, 이런 경우 클러치 디스크 표면에 문제의 점성 물질이 배출 및 제거되지 않을 수 있고, 이로 인해 클러치 레버를 완전히 당겨도 클러치가 완전히 분리되지 않아 차량이 정지 상태에서도 앞으로 움직일 수 있는 가능성에 따른 리콜 ",클러치디스크 셋트 교환 (적합한 방청유 사용)
원동기(동력발생장치) 기타,2024-12-06 ~ ,"톤 휠의 자성 금속 접착력 불량으로 인해 톤 휠 둘레의 자성 금속이 톤 휠로부터 분리될 수 있으며, 이로 인해 크랭크샤프트 센서로 보내는 자기장 신호가 끊겨 크랭크샤프트 센서가 엔진 컨트롤 모듈로 크랭크샤프트의 위치/속도/회전방향 정보를 전달하지 못하는 경우 엔진 컨트롤 모듈은 연료 분사 명령을 내리지 않아 연료 공급이 안되어 시동이 안 걸리거나 주행 중 시동이 꺼질 수 있는 가능성이 확인됨에 따른 리콜 ",개선된 톤 휠로 교체 
전기장치 기타,2024-12-05 ~ ,"통합충전제어장치(ICCU) 리콜 소프트웨어 로직 미흡으로 저전압 배터리가 충전 불가한 상황이 발생할 수 있으며, 이런 경우 주행 중 단계적 속도제한 및 지속 주행 시 차량이 멈출 수 있는 가능성에 따른 리콜 <대상차량별 생산일자>아이오닉5 (NE): 2020.10.09~2024.03.22아이오닉6 (CE): 2022.02.21~2024.10.28",통합충전제어장치(ICCU) 소프트웨어 업데이트 (점검 후 특정 고장코드 진단 시 부품 교환)
기타장치 기타,2024-12-05 ~ ,"접지용 볼트가 완전하게 체결되지 않았을 수 있으며, 이런 경우 접지용 단자와 접지면 사이의 간극으로 인하여 접촉 불량이 발생할 수 있고, 이로 인해 운행 중 엔진 점검 경고등이 점등되거나 가속불량이 발생될 수 있으며, 극히 드물게 시동이 꺼질 수 있는 가능성에 따른 리콜 ","접지용 볼트의 체결 상태를 확인하고, 규정 토크로 재체결 단, 접지용 볼트의 체결이 불량한 경우 추가적인 차량 진단을 통하여 고장코드에 따라 관련 부품의 점검 또는 교환 "
동력전달장치 기타,2024-12-05 ~ ,"통합충전제어장치(ICCU) 리콜 소프트웨어 로직 미흡으로 인해 저전압 배터리가 충전 불가한 상황이 발생하여, 주행 중 단계적 속도제한 및 지속 주행 시 차량이 멈출 수 있는 가능성이 있는 결함이 존재하는 것으로 확인됨에 따른 리콜 <대상차량별 생산일자>아이오닉5 (NE): 2020.10.09~2024.03.22아이오닉6 (CE): 2022.02.21~2024.10.28GV60(JW): 2021.03.05~2024.10.22GV70(JK) EV: 2022.02.11~2024.11.14G80(RG3) EV: 2021.06.08~2024.11.15","통합충전제어장치(ICCU) 소프트웨어 업데이트 (점검 후 특정 고장코드 진단 시 부품 교환)<단, 일부 차량의 경우 이미 리콜에 해당하는 조치가 완료되어 추가 조치는 필요하지 않을 수 있으므로, 자세한 사항은 제작사 고객센터(080-600-6000 / 080-700-6000)으로 문의하여 주시기 바랍니다.>"
동력전달장치 기타,2024-12-05 ~ ,프로펠러 샤프트와 배터리 케이스 간격 협소로 인해 프로펠러 샤프트 파손 시 모터에서 발생하는 회전 구동력 전달 불가로 동력 상실 가능성이 확인됨에 따른 리콜 ,프로펠러 샤프트 점검 후 개선품 교환 및 배터리 케이스 절삭 
원동기(동력발생장치) 기타,2024-12-04 ~ ,"엔진 저부하 시 연료 레일의 과한 압력이 발생될 수 있으며, 이런 경우 계기반에 엔진 경고등이 점등될 수 있고, 차량이 림프-홈 모드로 전환될 수 있는 가능성이 확인됨에 따른 리콜 ",엔진 컨트롤 유닛 소프트웨어 업데이트 
조향장치 기타,2024-12-02 ~ ,"웜휠과 윔기어의 접촉 부분의 저항이 증가되어 핸들 조향 시, 운전자가 위험을 느낄 정도의 비정상적인 소음이 발생하거나 핸들 조향이 매끄럽지 않아 안전에 영향을 끼칠 가능성에 따른 리콜 <대상차량별 생산일자>CR-V R S3: 2021.11.12~2024.08.16CR-V HYBRID RS5: 2022.09.08~2024.02.16CR-V HYBRID RS6: 2022.09.09~2024.02.13",개선된 스프링 엔드캡 교체
연료장치 기타,2024-12-02 ~ ,"연료펌프 모터가 손상될 경우, 연료펌프가 정지하여 엔진 시동이 걸리지 않거나, 최악의 경우 주행 중 엔진이 정지하여 안전에 영향을 끼칠 가능성에 따른 리콜 <대상차량별 생산일자>ACCORD HYBRID CR6 : 2017.07.10~2017.09.01ACCORD CV1 : 2018.02.20~2019.07.30ACCORD CV2 : 2018.03.28~2019.10.03ACCORD HYBRID CV3 : 2018.05.02~2019.10.18CR-V RW1 : 2018.11.30~2019.07.12CR-V RW2 : 2018.12.07~2019.03.08ODYSSEY RL6: 2017.11.06~2019.10.09PILOT YF6 : 2017.12.07~2019.03.08HR-V RU5 : 2018.01.02~2018.01.02CIVIC FC1 : 2018.08.30~2019.07.08",개선된 연료펌프로 교체
전기장치 기타,2024-11-29 ~ ,발전기 배선의 설계 불량에 따라 과도한 당김으로 배선간 간섭이 발생할 경우 발전기 커넥터의 접촉저항으로 열이 발생하여 커넥터가 변형될 가능성에 따른 리콜<대상차량별 생산일자>BonnevilleT100: 2021.02.11 ~ 2023.03.30Bonneville T120: 2021.03.06 ~ 2023.08.30Bonneville T120 Black: 2021.03.05 ~ 2023.08.28Street Twin: 2021.02.22 ~ 2022.06.07Street Twin Goldline: 2021.03.20 ~ 2021.05.14Speed Twin 900: 2022.06.11 ~ 2023.08.28Street Scrambler: 2021.07.12 ~ 2022.05.19Street Scrambler Sandstorm: 2021.02.16 ~ 2021.03.03Scrambler 900: 2022.06.11 ~ 2023.02.25,발전기 배선에 정렬 클립 장착
주행장치 기타,2024-11-29 ~ ,"뒷 타이어의 제조불량으로 인해 공기압이 낮거나, 많은 하중을 적재, 타이어 수명 절반에 가까운 주행거리와 같은 조건에서 타이어 뼈대인 스틸 벨트가 끊어질 수 있는 가능성에 따른 리콜<대상차량별 생산일자>Tiger 1200 GT Pro: 2022.07.12 ~ 2022.09.13Tiger 1200 GT Explorer: 2022.04.06 ~ 2022.08.25",뒷 타이어를 개선된 타이어로 교체
원동기(동력발생장치) 기타,2024-11-27 ~ ,"EGR 쿨러의 바이패스 플랩 커버의 나사가 풀리거나 이탈된 경우 소음, 악취가 발생할 수 있으며 경우에 따라 주변 부품(엔진커버, 레일압력 센서 등)이 손상될 수 있습니다. 레일 압력 센서가 손상될 경우 엔진 경고등 및 경고 메시지가 표시되며 차량은 안전 모드로 전환되나, 매우 드문 경우 엔진 룸 내 화재 발생을 배제 할 수 없는 가능성에 따른 리콜<대상차량별 생산일자>BMW 740d xDrive: 2022. 10. 13 ~ 2023. 08. 30BMW X5 xDrive30d: 2023. 02. 28 ~ 2023. 10. 24BMW X5 xDrive40d: 2023. 08. 08 ~ 2023. 10. 03BMW X6 xDrive30d M Sport: 2023. 03. 01 ~ 2023. 10. 24BMW X6 xDrive40d: 2023. 08. 08 ~ 2023. 08. 26BMW X7 xDrive40d: 2022. 07. 20 ~ 2023. 09. 22","EGR 쿨러의 바이패스 플랩 커버 고정 나사를 재조임하고 그을음 흔적이 있을 경우 EGR 모듈을 교체<단, 일부 차량의 경우 2023년 12월 11일 부로 시행된 무상수리와 동일한 내용으로 무상수리를 통하여 본 조치가 이미 완료되어 추가 조치가 필요하지 않을 수 있음. 자세한 조치 완료 여부에 대해서는 리콜전담센터 (080-269-5181) 또는 가까운 서비스센터에 문의해 주시기 바랍니다.>"
차체(바디),2024-11-27 ~ ,B필러가 제조 과정의 오류(B필러 제조 공급사의 라벨링 오류)로 인해 미 승인된 강철코일로 제조 된 제작결함에 따른 리콜 <대상차량별 생산일자>BMW iX1 xDrive30: 2024.09.19~2024.10.18BMW X1 M35i xDrive: 2024.09.30~2024.10.02BMW X1 sDrive18d: 2024.09.18~2024.10.16BMW X1 xDrive20i: 2024.09.17~2024.10.21,"차량의 B필러 제조번호를 확인하고, 미승인된 강철코일이 사용된 B필러는 교체 "
